EG;;;Überprüfter Vorschlag für eine Richtlinie des Rates zur Änderung der Richtlinie 71/305 EWG über die Koordination der Verfahren zur Vergabe öffentlicher Bauaufträge;;;;ISSN 0376-9461;50-69;Druckerzeugnis;in: Amtsblatt der Europäischen Gemeinschaften, Mitteilungen und Bekanntmachungen, Nr. 89/C 115/04;Haupt-Bibliothek;;Luxemburg;EG;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden;iffonly;514574348
Bull Hans Peter;;;Zum Wandel öffentlicher Aufgaben und Staatsfinanzen;;;;3-7890-1937-2;31-39;Druckerzeugnis;In: Hesse-Joachim Jens- und andere: Der Staat der Zukunft;Haupt-Bibliothek;;Baden-Baden;Nomos;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;;iffonly;51458744X
Forte F.;;;Italien;;;;;105-124;Druckerzeugnis;In: Kommission der Europäischen Gemeinschaften: Bericht der Sachverständigengruppe zur Untersuchung der Rolle der öffentlichen Finanzen bei der europäischen Integration;Haupt-Bibliothek;;Brüssel;;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden;iffonly;514587458
Wissenschaftliches Institut der Ostkrankenkassen;;;Ausgewogene Absicherung von Gesundheitsrisiken;;;;3.922093.05.0;210;Druckerzeugnis;Gutachten erstellt im Auftrag des Senators für Gesundheit, Soziales und Familie des Landes Berlin;Haupt-Bibliothek;AF 207;Bonn;WIdO;1984;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;;iffonly;515870862
Mutén Leif;;;Die Schaukelbrettendenz in der internationalen Steuerplanung;;;;-;827-840;Druckerzeugnis;In: Dann, Wilfried, Ehrlicher, Werner & etc., (Hrsg.): Unternehmenspolitik und Internationale Besteuerung;Haupt-Bibliothek;;;;;LD;;;Interkantonales/Internationales Steuerrecht;Deutschland;;iffonly;514587466
Gauss Richard;;;Bevölkerungsentwicklung und Sicherheit der Pensionen;;;;;17;Druckerzeugnis;Zur Frage der Berücksichtigung der Bevölkerungsentwicklung im Alterssicherungssystem;Separata;AF Sep. 29;Wien;Institut für Finanzwirtschaft und Steuerrecht;1995;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;;iffonly;515870927
Voigt Rüdiger;;;Ein neues Steuerungsparadigma?;;;;-;33-93;Druckerzeugnis;In: Voigt-Rüdiger: Der kooperative Staat Auf der Suche nach einem neuen Steuerungsmodus;Haupt-Bibliothek;;;;;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;;iffonly;514574372
Grochla Erwin;;;Die Kalkulation von öffentlichen Aufträgen;;;;;130;Druckerzeugnis;Eine Anleitung nach den Bestimmungen der VPöA und LSP;Haupt-Bibliothek;BB 104;Berlin;Duncker & Humblot;1954;YL1;YR;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Gewerbepolitik. Einzelne Wirtschaftszweige";Allgemeines;iffonly;51587101X
Korinek Karl;;;Die Bedeutung des Gemeinschaftsrechts für das verfassungsgerichtliche Verfahren;;;;-;31-46;Druckerzeugnis;In: Holoubek, Michael & Lang, Michael, (Hrsg.): Das verfassungsgerichtliche Verfahren in Steuersachen;Haupt-Bibliothek;;;;;KB;;;Ausländisches Steuerrecht;Deutschland;;iffonly;514587482
Morse Ellsworth H.;;;Amélioration de la vérification des gouvernements locaux;;;;;2;Druckerzeugnis;Revue internationale de la vérification des comptes publics;Separata;VE Sep. 01;Toronto;;1975;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle;iffonly;515871028
Hemetsberger-Koller Hildegard;;;Der wirtschaftspolitische Hintergrund des Doppelbesteuerungsabkommens zwischen Österreich-Ungarn und Preussen 1899;;;;-;13-40;Druckerzeugnis;In: Lang, Michael, Gassner, Wolfgang & u. a., (Hrsg.): Die Zukunft des Internationalen Steuerrechts;Haupt-Bibliothek;;Wien;Linde Verlag Wien Ges.m.b.H.;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;;iffonly;514587490
Kröner Michael;;;Ausweitung der Besteuerung privater Veräusserungsgewinne bei Beteiligung an Kapitalgesellschaften;Gesetzgeberisches Dilemma-technische Umsetzungsprobleme und Gestaltungshinweise;;;3 504 62642 9;193-228;Druckerzeugnis;In: Fachinstitut der Steuerberater (Hrsg.): Steuerberater-Jahrbuch, Bd. 49;Haupt-Bibliothek;;Köln;Otto Schmidt;;PF;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Vermögensertrag;;iffonly;514575328
Schwarting Gunnar;;;Der kommunale Haushalt;;;;3 503 03456 0;273;Druckerzeugnis;Haushalts- und Kassenwesen - Haushaltssteuerung - Rechnungswesen;Haupt-Bibliothek;EC 106;Berlin;Erich Schmidt;1993;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften;iffonly;515871060
EG-Kommission;;;Die Europäer und ihre Umwelt 1986;;;;;102;Druckerzeugnis;;Haupt-Bibliothek;AJ 340;Brüssel;EG;1986;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;;iffonly;514575344
Millenaar K.;;;Die Mehrwertsteuer in den Niederlanden;;;;-;55-67;Druckerzeugnis;In: Deutsche Gesellschaft für Betriebswirtschaft, (Hrsg.): Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen. 3. A.;Haupt-Bibliothek;;;;;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;;iffonly;514575352
Geertmann Joannes;;;Die Steuerpolitik internationaler Konzerne;;;;-;;Druckerzeugnis;in: Steuern und Unternehmungspolitik, S. 25 ff.;Haupt-Bibliothek;;;;;PE;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;;iffonly;514575360
Brown A. J.;;;Vereinigtes Königreich;;;;;47058;Druckerzeugnis;In: Kommission der Europäischen Gemeinschaften: Bericht der Sachverständigengruppe zur Untersuchung der Rolle der öffentlichen Finanzen bei der europäischen Integration;Haupt-Bibliothek;;Brüssel;;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden;iffonly;514587512
Roth Andreas;;;Aktuelle Fragen der Betriebsstättenbesteuerung unter Berücksichtigung des Entwurfs eines Betriebsstättenerlasses;;;;3 504 62642 9;411-426;Druckerzeugnis;In: Fachinstitut der Steuerberater (Hrsg.): Steuerberater-Jahrbuch, Bd. 49;Haupt-Bibliothek;;Köln;Otto Schmidt;;KB;;;Ausländisches Steuerrecht;Deutschland;;iffonly;514575379
Statistisches Bureau des Kantons Bern;;;Die Entwicklung des Fremdenverkehrs im Kanton Bern von 1949-1967 in der Sicht der Statistik (Tabenllenband);;;;;220;Druckerzeugnis;;Separata;AJ Sep. 35;Bern;Kommissionsverlag Stauffacher;1968;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;;iffonly;515871249
