-;"Zeitschrift für Gesetzgebung und Rechtsprechung in Graubünden (ZGRG) 1992-93";-;;Druckerzeugnis;30.10.2003;"Zeitschrift für Gesetzgebung und Rechtsprechung in Graubünden";"HB Steuerrecht";"Z 340";Tamins;"Arcas Verlag";1994;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 353";-;123;Druckerzeugnis;"05.12.2003 08:38";"Möglichkeiten und Grenzen der Verrechnung nichtrealisierter Verluste mit nichtrealisierten Gewinnen / Ausgleich von Verpflichtungen durch Gegenansprüche";Haupt-Bibliothek;"Z 153 353";Bonn;IFSt;1997;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 477";978-3-89737-019-7;95;Druckerzeugnis;"28.03.2012 18:32";"Joachim Englisch/Heidi Friedrich-Vache, Umsatzsteuerrechtliche Aspekte der Anteilsveräusserung";Haupt-Bibliothek;"Z 153 477";Berlin;"Institut 'Finanzen und Steuern'";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Brief 125";-;21;Druckerzeugnis;"05.12.2003 08:38";;Haupt-Bibliothek;"Z 153 125";Bonn;Stollfuss;1971;;Z;;;Zeitschriften;;
-;"Zeitschrift für Schweizerisches Recht (ZSR) 2012 - Bd. 1";0254-945X;559;Druckerzeugnis;"04.04.2012 19:07";"Bd. 131 (2012) I - Das offizielle Veröffentlichungsorgan des Schweizerischen Juristenvereins La RDS – l'organe de communication principal de la Société suisse des juristes";"HB Steuerrecht";"Z 345";Basel;"Helbing Lichtenhahn Verlag";2012;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 370";3-89737-065-4;64;Druckerzeugnis;"05.12.2003 08:38";;Haupt-Bibliothek;"Z 153 370";Bonn;IFSt;1999;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 394";3-89737-089-1;74;Druckerzeugnis;"05.12.2003 08:38";;Haupt-Bibliothek;"Z 153 394";Bonn;IFSt;2001;;Z;;;Zeitschriften;;
IFA;"Cahiers de Droit Fiscal International - Vol. LXXXIIIa (1998)";"90 411 1003 8";900;Druckerzeugnis;"05.12.2003 08:38";"Steuerliche Behandlung von Verlusten bei Körperschaften";Haupt-Bibliothek;"LC 0301 083.1";"The Hague / London / Boston";Kluwer;1998;;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";
IFSt;"IFSt-Heft 066 - Bd. 2";-;118;Druckerzeugnis;"05.12.2003 08:38";;Haupt-Bibliothek;"Z 152 066.2";Bonn;"Verlag Stollberg";1963;;Z;;;Zeitschriften;;
