"ï»¿Haas Adrian";;;"Chancen und Gefahren des New Public Managements fÃ¼r die Privatwirtschaft";;;;;;Druckerzeugnis;;Haupt-Bibliothek;"EF 230";Bern;ECOPLAN;1996;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;notfound;515870145
"Schwarzenbach Hans Rudolf";;;"Bericht zur Frage";"Wie soll das Personal zürcherischer Gemeinden angestellt sein";;;;40;Druckerzeugnis;"...- öffentlichrechtlich oder privatrechtlich, - auf Amtsdauer oder unbefristet auf Kündigung?";Separata;"EH Sep. 02";Erlenbach;;1992;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;unsafe;515870188
"U. S. General Accounting Office (GAO)";;;"Business Process Reengineering Assessment Guide";;;;;74;Druckerzeugnis;"Accounting and Information Management Division";Haupt-Bibliothek;"EG 227";Washington;GAO;1997;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;notfound;515870242
"Mmobuosi Ifechukude B.";"Ndongko Theresa M.";;"Cahier Africains d'Administration Publique";;;;;165;Druckerzeugnis;"African Administrative Studies";Haupt-Bibliothek;"EA 238";Nigeria;"Centre Africain de Formation et de Recherche Administratives pur le Développement";1989;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;notfound;515870269
"Zimmermann Gebhard";;;"Die Leistungsfähigkeit von Kostenrechnungssystemen für den managementorientierten Informationsbedarf";;;;-;167-195;Druckerzeugnis;"In: Brede-Helmut (Hrsg.)- Buschor-Ernst- und andere: Das neue Oeffentliche Rechnungswesen";Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";unsafe;514574259
"Runge Berndt";;;"Das neue DBA Österreich-Deutschland im Lichte der deutschen Abkommenspolitik";;;;-;15-34;Druckerzeugnis;"in: Gassner, Wolfgang, Lang, Michael & u.a., (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich-Deutschland";Haupt-Bibliothek;;;;;LP;;;"Interkantonales/Internationales Steuerrecht";Oesterreich;;notfound;514587342
"Shapiro Eli";"White William L.";;"Capital for Productivity and Jobs";;;;0.13.113498.1;194;Druckerzeugnis;;Haupt-Bibliothek;"AG 257";"Englewood Cliffs";Prentice-Hall;1977;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;found;515870358;(DE-627)020719094
"Pohl Reinhard";;;"Stabilisierung oder Anpassung";"Konsequenzen für den finanziellen Sektor";;;3.428.03264.0;148-158;Druckerzeugnis;"In: Haberler-Gottfried- Bartel-Karl (Hrsg.): Das Inflationsproblem heute - Stabilisierung oder Anpassung";Haupt-Bibliothek;;Berlin;"Duncker & Humblot";;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;found;514587350;(DE-627)482374616
"Kantonale Finanzkontrolle Schwyz";;;"Die Finanzlage der politischen Gemeinden im Kanton Schwyz";;;;;12;Druckerzeugnis;;Separata;"EC Sep. 07";Schwyz;"Kant. Finanzkontrolle Schwyz";1991;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";notfound;515870404
"Guthrie James";"Johnson Michael";;"CEDA PROJECT An Australia That Works";"A Vision for the Future - Australia in the 1990s and Beyond";;;;28;Druckerzeugnis;;Separata;"EF Sep. 26";Sydney;"University of NSW";1993;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;notfound;515870439
IFSt-Arbeitsgruppe;;;"Einführung einer modernen Gruppenbesteuerung";"Ein Reformvorschlag -";;;-;123;Druckerzeugnis;"IFSt-Schrift 471";Haupt-Bibliothek;;;;;KB;;;"Ausländisches Steuerrecht";Deutschland;;found;514574275;(DE-627)73788696X
"First National City Bank";;;"A Turn in Monetary Policy";"A New Look in Federal Spending?";;;;"3- 6-";Druckerzeugnis;;Separata;"AK Sep. 213";"New York";"First National City Bank";1969;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";;notfound;515870447
