"Patzig Traber";;;"Haushaltsrecht des Bundes und der Länder";;;;"3 452 17054 3";Loseblatt;Druckerzeugnis;"Band 1: Kommentar Einführung in das Haushaltsrecht Band 2: Verwaltungsvorschriften Kommentar";Haupt-Bibliothek;"VA 121";Köln;"Carl Heymanns";1970;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)1619444909
"Bayrische Vereinsbank";;;"Übersicht über die wichtigsten Steuern";;;;0;219;Druckerzeugnis;"Vereinsbank-Information, 14. A.";Haupt-Bibliothek;"KB 312";München;"Bayrische Vereinsbank";1980;KB;;;"Ausländisches Steuerrecht";Deutschland;0;found;;(DE-627)1078217025
"Barth Hans J.";"Streissler Erich";;"Bessere Stabilisierungspolitik durch Regelmechanismen oder regelgebundenes Verhalten?";;;;"3.16.336431.4 (Kt.) 3.16.336432.2 (Ln.)";"147-170 171-188";Druckerzeugnis;"In: Gahlen-Bernhard- Schneider-Hans Karl (Hrsg.): Grundfragen der Stabilitätspolitik";Haupt-Bibliothek;;Tübingen;"J.C.B. Mohr";;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)377547409
"Lang Michael";;;"Introduction to the Law of Double Taxation Conventions";;;;978-3-7073-1714-5;222;Druckerzeugnis;"1. A.";"HB Steuerrecht";"LC 0255 1";Wien;Linde;2010;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-603)23011752X
"Altehoefer Klaus";"Wolf Edgar";"Zeller Gabriele";"Steuerreform 1990";;;;3-88784-163-8;534;Druckerzeugnis;"Die geänderten Gesetzestexte";Haupt-Bibliothek;"KB 201";Köln;Bundesanzeiger;1988;KB;;;"Ausländisches Steuerrecht";Deutschland;0;found;;(DE-627)25582128X
"Alt Herwig";"Weiss Reinhold";"Brems Jörgen";"Grundlagen der Weiterbildung";;;;0937-2172;0;Druckerzeugnis;"Praxis, Forschung, Trends";Haupt-Bibliothek;"EJ 146";Neuwied;Luchterhand;1995;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;unsafe
"Bulling Hinrich";;;"Entscheidungshilfen der Diskriminanzanalyse bei der Gewährung von Konsumentenkrediten und gewerblichen Krediten";;;;0;264;Druckerzeugnis;0;Haupt-Bibliothek;"WD 150";Berlin;Offset;1976;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;found;;(DE-627)03946962X
"de Haen H.";;;"Integrierte Entwicklungsplanung";;;;3.428.03351.5;176;Druckerzeugnis;"Eine Bestandesaufnahme";Haupt-Bibliothek;"VC 157";Berlin;"Duncker & Humblot";1975;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)039557383
"Morand Charles-Albert";;;"La Législation dans les Communautés Européennes";;;;0;302;Druckerzeugnis;"Dissertation der Universität Genf, Nr. 585, 1968";Haupt-Bibliothek;"FB 104";Paris;"Librairie Générale de Droit et de Jurisprudence";1968;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";found;;(DE-627)1146644833
IFSt;;;"IFSt-Schrift 387";;;;3-89737-082-4;115;Druckerzeugnis;0;Haupt-Bibliothek;"Z 153 387";Bonn;IFSt;2000;Z;;;Zeitschriften;0;0;ignore
ReverdinOlivier;;;"La Suisse et la difficile gestation de l'Europe de la science et de la technologie";;;;0;15;Druckerzeugnis;0;Separata;"AK Sep. 313";;;1967;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;notfound
"Murswieck Axel";;;"Politische Steuerung und soziale Integration";"Handlungsgrenzen einer staatlichen Sozialpolitik";;;3-455-09150-4;190-211;Druckerzeugnis;"In: Grottian-Peter- Murswieck-Axel: Handlungsspielräume der Staatsadministration";Haupt-Bibliothek;;Hamburg;"Hoffmann und Campe";;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)1417033274
"Campbell Colin D.";;;"Income Redistribution";;;;0.8447.2098.4;267;Druckerzeugnis;"A conference sponsored by the American Enterprise Institute for Public Policy Research and the Hoover Institution on War, Revolution and Peace";Haupt-Bibliothek;"AH 166";Washington;"American Enterprise Institute for Public Policy Research";1976;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";0;found;;(DE-627)019940335
"Schmitz Bernhard";;;"Die Unterscheidung zwischen Finanz- und Verwaltungsvermögen";;;;0;214;Druckerzeugnis;"... im Lichte des modernen Rechts- und Wirtschaftsstaates";Haupt-Bibliothek;"VD 103";Hamburg;"Forschungsstelle für Völkerrecht und ausländisches öffentliches Recht der Universität Hamburg";1966;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)1078516103
"Institut für Orts-, Regional- und Landesplanung an der ETHZ";;;"Landesplanerische Leitbilder der Schweiz";;;;0;0;Druckerzeugnis;"Band IV: Pläne";Haupt-Bibliothek;"AJ 194 IV";Zürich;"Institut für Orts-, Regional- und Landesplanung an der ETH";1971;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;ignore
"Clauss Franz Joachim";;;"Konjunktur und Neoklassik";;;;0;470;Druckerzeugnis;"Sparen und Investieren, öffentliche Haushalte und wirtschaftliches Wachstum in der konjunkturbewegten Volkswirtschaft (USA 1929-1967)";Haupt-Bibliothek;"AG 162";Berlin;"Duncker & Humblot";1968;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)1076317693
"Boulding Kenneth E.";;;"The Dynamics of World Distribution";;;;3.428.04152.6;17-33;Druckerzeugnis;"In: Pfaff Martin/andere (Hrsg.): Grenzen der Umverteilung";Haupt-Bibliothek;;Berlin;"Duncker & Humblot";1978;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-627)538345330
"Detken Carsten";"Gärtner Manfred";;"Governments-Trade Unions and the Macroeconomy";;;;0;25;Druckerzeugnis;"An expository analysis of the political business cycle";Separata;"AD Sep. 05";"St. Gallen";"Forschungsgemeinschaft für Nationalökonomie";1990;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-627)042432111
"Ernst & Young";;;"Doing Business in ......";;;;-;;Druckerzeugnis;0;Haupt-Bibliothek;"KA 340";;"Ernst & Young";1997;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)258368136
"Lethem F.";;;"Le rôle de l'International Finance Corporation et de l'International Development Association dans l'aide aux pays en voie de développement";;;;0;192;Druckerzeugnis;"Dissertation der Universität Neuenburg";Haupt-Bibliothek;"AK 0503";Liège;"Imprimerie Georges Thone";1966;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;notfound
"Amatucci Andrea";;;"L'interpretazione della Norma di Diritto Finanziario";;;;-;283;Druckerzeugnis;"Pubblicazioni della Facoltà Giuridica dell'Università di Napoli";Haupt-Bibliothek;"JD 309";Napoli;"Casa Editrice Dott. Eugenio Jovene";1965;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;found;;(DE-627)1131180879
IFSt;;;"IFSt-Schrift 329";;;;-;83;Druckerzeugnis;0;Haupt-Bibliothek;"Z 153 329";Bonn;"Institut Finanzen und Steuern";1994;Z;;;Zeitschriften;0;0;ignore
"Graf Silvio";;;"Einkommensteuerliche Erfassung der Nutzung von Wohnraum durch den Eigentümer unter besonderer Berücksichtigung der Wohneigentumsförderung";;;;0;196;Druckerzeugnis;"Dissertation der Universität Zürich, 1984";Haupt-Bibliothek;"AK 0456";Bern;"Peter Lang";1984;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)1101427205
"Ministry of Finance, Budget Department";;;"In search of results and financial incentives";"recent advancements in the Swedish Central Government budget process";;;"ISSN 1104-9138";61;Druckerzeugnis;0;Haupt-Bibliothek;"EF 200";Stockholm;"Stella Stals Tryckerier AB";1994;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Noorlander John";"Leu Robert E.";"Kugler Peter";"Geld und Währung Monetary Affairs";;;;0;36;Druckerzeugnis;"Heft 4";Haupt-Bibliothek;"AK 0274 VI";;;1986;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;notfound
"Jöhr Walter Adolf";;;"Finanzplatz Schweiz kontra Exportwirtschaft?";;;;0;79;Druckerzeugnis;"Fakten und Überlegungen zum Wechselkursproblem unseres Landes, Vereinigung für gesunde Währung";Haupt-Bibliothek;"AK 0332";;Offset;1977;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;found;;(DE-627)019959036
"Buchholz Rainer";;;"Internationale Rechnungslegung";;;;3-503-05772-2;453;Druckerzeugnis;"Die Vorschriften nach IAS, HGB und US-GAAP im Vergleich - mit Aufgaben und Lösungen";Haupt-Bibliothek;"WA 293";Bielefeld;"Erich Schmidt";2001;YP;;;Wirtschaftswissenschaften;"Allgemeine Betriebswirtschaftslehre";0;found;;(DE-627)320278891
"Frickhöfer Wolfgang";"Röpke Wilhelm";;"Geldwert und öffentliche Finanzen";;;;0;132;Druckerzeugnis;"Vorträge und Diskussionen der dreiundzwanzigsten Arbeitstagung der Aktionsgemeinschaft Soziale Marktwirtschaft am 4. und 5. November 1964 in Bad Godesberg";Haupt-Bibliothek;"AK 0219";Ludwigsburg;"Martin Hoch, Druckerei und Verlagsgesellschaft";1964;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)1122702507
"Ossadnik Wolfgang";;;"Investitionsrechnungsverfahren für öffentliche Betriebe";;;;3.428.07553.6;173;Druckerzeugnis;0;Haupt-Bibliothek;"BG 138";Berlin;"Duncker & Humblot";1992;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";found;;(DE-627)27205416X
"Stäger Luca";;;"La riforma dell'organizzazione scolastica della scuola media nel Canton Ticino";;;;0;247;Druckerzeugnis;0;Haupt-Bibliothek;"EJ 130";Hallstadt;Rosch-Buch;1994;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Kaefer Wolfgang";;;"Grundlagen und Modelle zu Steuerbelastungsanalysen und -vergleichen mit Hilfe der automatischen Datenverarbeitung";;;;3.7756.6506.4;355;Druckerzeugnis;0;Haupt-Bibliothek;"CA 168";Köln;"Peter Hanstein";1974;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";found;;(DE-627)1610361121
"Institut für Orts-, Regional- und Landesplanung an der ETHZ";;;"Grundlagen zur Abgrenzung und Typisierung von Planungsregionen";;;;0;34;Druckerzeugnis;0;Haupt-Bibliothek;"AJ 199";Zürich;"Institut für Orts-, Regional- und Landesplanung an der ETH";1971;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-605)TT003547760
"Topsoe Haldor";;;"Factors Governing European Economic Developments and Competitiveness";;;;-;73-87;Druckerzeugnis;"in: ISC (Hrsg.), The Spirit of Competition";Haupt-Bibliothek;;;;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;notfound
OECD;;;"Integrating People Management into Public Service Reform";;;;92-64-15279-2;278;Druckerzeugnis;0;Haupt-Bibliothek;"EH 137";Paris;OECD;1996;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)299250717
"Haller Heinz";;;"Umstrittene Fragen der Leistungsfähigkeitsbesteuerung";;;;3.16.145648.3;21-40;Druckerzeugnis;"In: Bea Franz Xaver/Kitterer Wolfgang (Hrsg.): Finanzwissenschaft im Dienste der Wirtschaftspolitik";Haupt-Bibliothek;;Tübingen;"J.C.B. Mohr";;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-627)261556614
"Boles Ernest";;;"Gesellschaften im US-Einkommensteuerrecht";;;;"3 406 37008 X";178;Druckerzeugnis;"Münchener Schriften zum Internationalen Steuerrecht, Heft 16- hrsg. von Klaus Vogel";Haupt-Bibliothek;"LC 0180";München;"C.H. Beck";1993;KC;;;"Ausländisches Steuerrecht";USA;0;found;;(DE-627)12795791X
"Lehmann Daniel";;;"Das Steuerrecht der osteuropäischen Länder von der sozialistischen Planwirtschaft zur demokratischen Marktwirtschaft";"Eine rechtsvergleichende Studie";;;-;285;Druckerzeugnis;"Dissertation Nr. 1668 der Uni St.Gallen";Haupt-Bibliothek;"KH 121";Sirnach;"Druckerei Sirnach";1995;KH;;;"Ausländisches Steuerrecht";"Uebriges Europa";0;found;;(DE-627)111513650X
"Isard Walter";"Smith Thony E.";;"General Theory";;;;"SBN 262.09012.0";1040;Druckerzeugnis;"Social, Political, Economic, and Regional With particular Reference to Decision-Making Analysis";Haupt-Bibliothek;"AA 207";Cambridge;"M.I.T. Press";1969;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;notfound
"Thiemann Hugo";;;"Gedanken zu einer schweizerischen Forschungspolitik";;;;0;11;Druckerzeugnis;0;Separata;"AG Sep. 22";Zürich;"Gesellschaft zur Förderung der schweizerischen Wirtschaft";1968;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-605)HT002421919
"Blumenstein Irene";;;"Kommentar zum bernischen Gesetz über die direkten Staats- und Gemeindesteuern vom 29. Oktober 1944";;;;0;569;Druckerzeugnis;0;Haupt-Bibliothek;"JC 204";Bern;"Herbert Lang";1948;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;found;;(DE-627)188337733
"Cordey Franklin";;;"La Suisse face au Marché commun Mythes et Réalités";;;;0;401;Druckerzeugnis;0;Haupt-Bibliothek;"FB 110";Montreux;"Editions de l'Europe du Possible";1971;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";found;;(DE-627)1126025569
"Jungo Daniel";"Maute Wolfgang";;"Lebensversicherungen und Steuern";;;;3-85621-154-3;262;Druckerzeugnis;"Ein Leitfaden für den Praktiker";Haupt-Bibliothek;"PG 304";Muri;Cosmos;2003;PG;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen aus anderen Quellen";0;found;;(DE-627)1608760626
"Nevermann Karsten";;;"Justiz und Steuerumgehung";;;;3-428-08026-2;346;Druckerzeugnis;"Ein kritischer Vergleich der Haltung der Dritten Gewalt zu kreativer steuerlicher Gestaltung in Grossbritannien und Deutschland Schriften zum Steuerrecht, Bd. 48";Haupt-Bibliothek;"SB 109";Berlin;"Duncker & Humblot";1994;SB;;;Steuerausweichung;Steuerumgehung;0;found;;(DE-627)272762741
"Lademann John";;;"Geld--Kredit- und Währungspolitik";;;;3.258.02450.2;43-50;Druckerzeugnis;"In: Celio-Nello (Hrsg.): Inflationsbekämpfung unter veränderten wirtschaftlichen und sozialen Bedingungen";Haupt-Bibliothek;;Bern;"Paul Haupt";;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;notfound
"Folmer Hendrik";;;"Regional Economic Policy";;;;90-247.3308.1;248;Druckerzeugnis;"Measurement of its Effect";Haupt-Bibliothek;"AJ 328";Dordrecht;"Martinus Nijhoff";1986;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)025251368
"Buschor E.";;;"Entwicklungstendenzen der europäischen Wirtschaft und Gesellschaft und ihre Bedeutung für die öffentliche Verwaltung";;;;-;13-25;Druckerzeugnis;"In: Hofmeister Albert: Internationalisierung der öffentlichen Verwaltung";Haupt-Bibliothek;;Bern;SGVW;1991;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";notfound
"Ehlert Wiking";;;"Fiktiver und realer Handlungsspielraum der Staatsadministration am Beispiel der Städtebauförderung";;;;3-455-09150-4;143-166;Druckerzeugnis;"In: GrottianPeter/Murswieck Axel: Handlungsspielräume der Staatsadministration";Haupt-Bibliothek;;Hamburg;"Hoffmann und Campe";;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)1417031271
"Kolms Heinz";;;Finanzwissenschaft;;;;3.11.004597.4;176;Druckerzeugnis;"Grundlegung, Oeffentliche Ausgaben";Haupt-Bibliothek;"AA 120 Ia";Berlin;"de Gruyter";1974;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)1075940850
"Bauer Lord";;;"Foreign Aid- Third World Progress and Competitiveness";;;;-;57-67;Druckerzeugnis;"in: ISC (Hrsg.), The Spirit of Competition";Haupt-Bibliothek;;;;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;notfound
"Zimmermann Horst";;;"Die Zukunft der Staatsfinanzierung";;;;3-8047-1003-4;256;Druckerzeugnis;"Marburger 'Forum Philippinum'";Haupt-Bibliothek;"AC 285";Stuttgart;"Wissenschaftliche Verlagsgesellschaft mbH";1988;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-602)gbv_274896346
"Huber-Krebs Hanns Walter";;;"Konformität von Privat- und Steuerrecht unter besonderer Berücksichtigung des Grunderwerbsteuerrechts";;;;0;172;Druckerzeugnis;0;Haupt-Bibliothek;"JD 315";München;"Dissertations-Druckerei Ch. Schön";1966;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;found;;(DE-627)1070701807
"Deutsches Institut für Urbanistik";;;"Kommunale Gebührenhaushalte";"Teil 3";;;3-88118-024-9;94;Druckerzeugnis;"Kalkulatorische Zinsen";Haupt-Bibliothek;"EC 128 3";Berlin;"Deutsches Institut für Urbanistik";1976;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";ignore
"Grjebine André";"Grjebine Tovy";;"La réforme du système monétaire international";;;;-;214;Druckerzeugnis;0;Haupt-Bibliothek;"AK 0328";Paris;"Presses Universitaires de France";1973;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;found;;(DE-627)223741426
"Hirt Beat";;;"Grundfragen der Einkommensbesteuerung";;;;3.258.05926.8;359;Druckerzeugnis;"untersucht am Beispiel des Einkommens aus selbständiger Erwerbstätigkeit nach Art. 18 DBG Schriftenreihe Finanzwirtschaft und Finanzrecht, Bd. 90";Haupt-Bibliothek;"PE 0194";Bern;"Paul Haupt";1998;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1630228613
"Herzig Norbert";;;"Grenzüberschreitende Fusion und Unternehmenswert";"Die nationale Ausrichtung des körperschaftsteuerlichen Anrechnungsverfahren als Kooperationshindernis";;;-;621-644;Druckerzeugnis;"In: Dann, Wilfried, Ehrlicher, Werner & etc., (Hrsg.): Unternehmenspolitik und Internationale Besteuerung";Haupt-Bibliothek;;;;;LD;;;"Interkantonales/Internationales Steuerrecht";Deutschland;0;found;;(DE-627)302484329
"Frey René L.";"Brugger Ernst A.";;"Infrastruktur-Spillovers und Regionalpolitik";;;;3.7253.0237.5;371;Druckerzeugnis;"Methode und praktische Anwendung der Inzidenzanalyse in der Schweiz";Haupt-Bibliothek;"AJ 318";Diessenhofen;Rüegger;1984;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)024867896
"Heierli Urs";;;"Entwicklung nach innen Probleme der Binnenmarktentwicklung";"dargestellt am Beispiel Kolumbiens";;;0;374;Druckerzeugnis;"Dissertation der HSG, Nr. 718, 1979";Haupt-Bibliothek;"AK 0546";Diessenhofen;Rüegger;1979;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;notfound
"Schillert Ulrich";;;"Gewinne als Quelle der Vermögenspolitik?";;;;3.428.03546.1;257;Druckerzeugnis;"Die Belastbarkeit der Unternehmensgewinne durch vermögenspolitische Massnahmen";Haupt-Bibliothek;"AH 146";Berlin;"Duncker & Humblot";1976;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";0;found;;(DE-627)021976457
"Mil Richard";;;"Wirtschaftsrechnungen von zwanzig Zürcher Familien von 1950-1962";;;;0;141;Druckerzeugnis;"Dissertation der Universität Zürich, 14. Februar 1970";Haupt-Bibliothek;"AH 117";;"Zentralstelle der Studentenschaft";1970;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";0;found;;(DE-627)1072445603
"Voigtländer Hubertus";;;"Direkte Lenkung oder Steuerung der Investitionen durch den Markt?";;;;3.434.30164.X;89-103;Druckerzeugnis;"In: Fleischle Gerhard/Krüper Manfred (Hrsg.): Investitionslenkung - Überwindung oder Ergänzung der Marktwirtschaft?";Haupt-Bibliothek;;Frankfurt;"Europäische Verlagsanstalt";;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;notfound
"Jürgensen Harald-Predöhl Andreas-Schelsky Helmut-Voigt Fritz";;;"Jahrbuch für Sozialwissenschaft";;;;0;342;Druckerzeugnis;"Band 18 (1967), Heft 3";Haupt-Bibliothek;"CA 143";Göttingen;"Vandenhoeck & Ruprecht";1967;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";ignore
"Wöhe Günter";"Bieg Hartmut";;"Grundzüge der Betriebswirtschaftlichen Steuerlehre";;;;0;385;Druckerzeugnis;"Lernbücher für Wirtschaft und Recht";Haupt-Bibliothek;"PE 0635";München;"Franz Vahlen";1978;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)027457559
"Höpflinger François";;;"Gewerkschaften und Konfliktregelung in der Schweiz";;;;0;244;Druckerzeugnis;"Ein eplorative Studie";Haupt-Bibliothek;"AF 139";Zürich;"Soziologisches Institut der Universität Zürich";1974;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;found;;(DE-605)HT008974212
"Hötzli A.";;;"Effizienzverbesserung eines Gemeindebetriebes";;;;3-908128-22-6;65-76;Druckerzeugnis;"In: Kaufmann-Martin (Hrsg.)- und andere: Erfolg im öffentlichen Bereich";Haupt-Bibliothek;;Bern;SGVW;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Dafflon Bernard";;;"Fédéralisme-Coordination et Harmonisation Fiscales";;;;0;46;Druckerzeugnis;"Working Paper Nr. 62";Haupt-Bibliothek;"AC 275";Freiburg;"Wirtschafts- und Sozialwissenschaftliches Institut";1985;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-627)540278416
"Pichon Maurice";;;"Impôts directs des cantons romands et impôts fédéraux";"Traité pratique de législation fiscale et de jurisprudence";;;0;195;Druckerzeugnis;0;Haupt-Bibliothek;"JC 214";Lausanne;"Librairie Payot";1957;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;found;;(DE-627)386738629
"Bucher Erwin";;;"Historische Grundlegung";"Die Entwicklung der Schweiz zu einem politischen System";;;-;13-24;Druckerzeugnis;"In: Steiner, Jürg (. & und andere, (Hrsg.): Das politische System der Schweiz";Haupt-Bibliothek;;;;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;notfound
"Farmer Paul";"Lyal Richard";;"EC Tax Law";;;;"0 19 825764 3";339;Druckerzeugnis;0;Haupt-Bibliothek;"KA 167";Oxford;Clarendon;1994;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)278897797
"Stikeman H. Heward";;;"Ein Führer durch das kanadische Steuergesetz";;;;0;146;Druckerzeugnis;0;Haupt-Bibliothek;"KJ 105";Montreal;"S & E Management Ltd.";1973;KJ;;;"Ausländisches Steuerrecht";Kanada;0;found;;(DE-627)1146088310
"Te Spenke Gerrit";;;"Taxation in The Netherlands";;;;0;132;Druckerzeugnis;0;Haupt-Bibliothek;"KH 115";Deventer;Kluwer;1985;KH;;;"Ausländisches Steuerrecht";"Uebriges Europa";0;found;;(DE-627)255110618
"Jenny Beat Alexander";;;"Interessenpolitik und Demokratie in der Schweiz";;;;0;99;Druckerzeugnis;"Basler Dissertation, dargestellt am Beispiel der Emser Vorlage";Haupt-Bibliothek;"BC 205";Zürich;"Polygraphischer Verlag";1966;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";found;;(DE-602)b3kat_BV026848673
"von Arnim Hans Herbert";"Littmann Konrad";;"Finanzpolitik im Umbruch";"Zur Konsolidierung öffentlicher Haushalte";;;3.428.05548.9;320;Druckerzeugnis;"Vorträge und Diskussionsbeiträge der 51. Staatswissenschaftlichen Fortbildungstagung 1983 der Hochschule für Verwaltungswissenschaften Speyer";Haupt-Bibliothek;"AG 365";Berlin;"Duncker & Humblot";1984;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)024970751
"Widmer Anne";;;"La réduction pour participations ('privilège holding')";;;;3-7190-2066-5;131;Druckerzeugnis;0;Haupt-Bibliothek;"PN 245 1";Basel;"Helbing & Lichtenhahn";2002;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)342121227
