"Helbling Carl";;;"Bilanz- und Erfolgsanalyse";;;;3-258-05626-9;559;Druckerzeugnis;"Lehrbuch und Nachschlagewerk für die Praxis mit besonderer Berücksichtigung der Darstellung im Jahresabschluss- und Revisionsbericht";"HB Steuerrecht";"PE 1011 2";Bern;"Paul Haupt";1997;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)226181197
"Schmidt Hans-Jürgen";;;"Betriebswirtschaftslehre für die Verwaltung";;;;3-7685-1481-1;341;Druckerzeugnis;0;Haupt-Bibliothek;"EA 190";Heidelberg;R.v.Decker;1982;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)016263391
IFSt;;;"IFSt-Schrift 357";;;;-;101;Druckerzeugnis;"Bedeutung und Reichweite der richtlinienkonformen Auslegung nationalen Rechts";Haupt-Bibliothek;"Z 153 357";Bonn;IFSt;1997;Z;;;Zeitschriften;0;0;ignore
"Badenhoop Reinhard K. J.";;;"Bibliographie zur Organisation von Staat-Verwaltung-Wirtschaft";"Bd. 1";;;0;766;Druckerzeugnis;0;Haupt-Bibliothek;"EA 108 1";Köln;"Grote'sche Verlagsbuchhandlung";1966;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)030846773
"Bray Jeremy";;;"Decision in Government";;;;0;311;Druckerzeugnis;0;Haupt-Bibliothek;"AD 115";London;"Victor Gollancz Ltd";1970;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-627)195459296
"Palmer John L.";;;"Creating Jobs Public Employment Programs and Wage Subsidies";;;;0.8157.6892.3;370;Druckerzeugnis;0;Haupt-Bibliothek;"AG 323";Washington;"Brookings Institution";1978;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)1608376591
"Brauchli Werner";;;"Das Phänomen der Stagflation Versuch einer theoretischen Klärung";;;;0;321;Druckerzeugnis;"Dissertation der Hochschule St. Gallen, Nr. 571";Haupt-Bibliothek;"AG 230";"St. Gallen";"ok Organisation Kolb";1975;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)039005739
"Funk Philip";;;"Der Begriff der Gewinnungskosten nach schweizerischem Einkommenssteuerrecht";;;;"3 7253 0350 9";267;Druckerzeugnis;"St.Galler Dissertation Reihe Öffentliche Finanzen, Bd. 5";Haupt-Bibliothek;"PC 404";Chur;Rüegger;1989;PC;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommensteuer allgemein";0;found;;(DE-627)022722726
"Stadie Holger";;;UStG;Kommentar;;;978-3-504-24327-2;1396;Druckerzeugnis;"1. A.";"HB Steuerrecht";"QB 379";Köln;"Otto Schmidt Verlag";2009;QB;;;Verbrauchsteuern;Umsatzsteuer;0;found;;(DE-627)583789064
"Denison E. F.";;;"An Aspect of Unequal Opportunity";;;;0;7-;Druckerzeugnis;0;Separata;"AG Sep. 40 a";;;1971;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;notfound
"Staringer Claus";;;"Besteuerung doppelt ansässiger Kapitalgesellschaften";;;;3-85122-940-1;462;Druckerzeugnis;0;Haupt-Bibliothek;"KD 115";Wien;Linde;1999;KD;;;"Ausländisches Steuerrecht";Oesterreich;0;found;;(DE-627)268810788
"Fischer Lutz";;;"Internationaler Unternehmenskauf und -zusammenschluss im Steuerrecht";;;;3-504-61500-1;149;Druckerzeugnis;"mit den Auswirkungen des Steueränderungsgesetzes 1992- Forum der Internationalen Besteuerung, Bd. 1";Haupt-Bibliothek;"LC 6117";Köln;"Otto Schmidt";1992;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)027080129
"Dellmann K.";;;"Prozesskostenrechnung für Massnahmen- und Ressourcenentscheidungen in der Verwaltung";;;;-;"Mai 25";Druckerzeugnis;"In: Hess-John (Hrsg.): Controlling in der öffentlichen Verwaltung";Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Kaufman Herbert";;;"Are Government Organizations Immortal?";;;;0-8157-4839-6;79;Druckerzeugnis;0;Haupt-Bibliothek;"EA 148";Washington;"Brookings Institution";1976;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)020912404
IFSt;;;"IFSt-Brief 216";;;;-;73;Druckerzeugnis;0;Haupt-Bibliothek;"Z 153 216";Bonn;"Institut Finanzen und Steuern";1982;Z;;;Zeitschriften;0;0;ignore
"Schmid Hans";;;"Die staatliche Beschaffungspolitik";;;;3.258.01612.7;276;Druckerzeugnis;"Ein Beitrag zu den Einkaufsverfahren der öffentlichen Hand";Haupt-Bibliothek;"BB 118";Bern;"Paul Haupt";1972;YL1;YR;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Gewerbepolitik. Einzelne Wirtschaftszweige";Allgemeines;found;;(DE-627)021981140
"Jarzyk-Dehne Friederike";;;"Pauschalierungen im Steuerrecht";;;;3-428-11081-1;294;Druckerzeugnis;"Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke";Haupt-Bibliothek;"KB 219";Berlin;"Duncker & Humblot";2003;KB;;;"Ausländisches Steuerrecht";Deutschland;0;found;;(DE-627)1608391078
"Dézsy Josef M.";;;"Anreize und Steuerungsmöglichkeiten durch Preisvorgaben im Krankenhaus";;;;0;50-59;Druckerzeugnis;"Das Krankenhaus 2/1988";Separata;"X Sep. 06";;;1988;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;notfound
"Caiden Gerald E.";;;"Administrative Reform Comes of Age";;;;"3.11.012645.1 Pb. 3.11.012895.0 Gewebe";316;Druckerzeugnis;0;Haupt-Bibliothek;"EG 178";Berlin;"de Gruyter";1991;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)018385745
"Känzig Ernst";;;"Die Eidgenössische Wehrsteuer";;;;-;707;Druckerzeugnis;0;"HB Steuerrecht";"JC 101";Basel;"Verlag für Recht und Gesellschaft";1962;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;found;;(DE-627)485960109
"Grossmann Benno";;;"Die Besteuerung der Gewinne auf Geschäftsgrundstücken";;;;-;407;Druckerzeugnis;"Dissertation Nr. 656 der HSG";Haupt-Bibliothek;"PE 0530 1";Romanshorn;"Gerhard Ströbele, Offset- und Buchdruck";1977;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)110161580X
"Saile Peter";;;"Das Recht der Ausgabenbewilligung der zürcherischen Gemeinden";;;;0;214;Druckerzeugnis;0;Haupt-Bibliothek;"GB 111";"St. Gallen";"Schweiz. Institut für Verwaltungskurse";1991;GB;;;Finanzrecht;Finanzreferendum;0;found;;(DE-627)1610596587
"Walter Philip";;;"Die steuerliche Gewinnberichtigung bei den Partnerwerken der Elektrizitätswirtschaft nach Art. 58 Abs. 3 DGB";;;;"3 258 05417 7";304;Druckerzeugnis;0;Haupt-Bibliothek;"PN 107";Bern;"Paul Haupt";1996;PN;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besondere Arten von juristischen Personen";0;found;;(DE-627)272226033
"Ufer Jörg";;;"Die demokratischen Grundlagen der funktionalen Finanzwirtschaften";;;;-;105;Druckerzeugnis;0;Haupt-Bibliothek;"AC 116";Berlin;"Duncker & Humblot";1966;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;found;;(DE-627)1074641361
"Känzig Ernst";;;"Die steuerrechtliche Behandlung der Veräusserung von Unternehmungen und Unternehmungsanteilen";;;;0;87-107;Druckerzeugnis;"In: diverse, (Hrsg.): Festschrift für Irene Blumenstein - Überreicht zum 70. Geburtstag am 23. April 1966";Haupt-Bibliothek;;Bern;Genossenschaftsbuchdruckerei;;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;notfound
