bestcase;102991;
leave;996390;
replacefromSwissbib;996391;148865046
leave;996392;
leave;996393;
replacefromSwissbib;996394;298388871
leave;996395;
leave;996396;
HSB01duplicate;996397;133682
leave;996398;
leave;996399;
HSB01duplicate;996400;200343
replacefromSwissbib;996401;152764593
replacefromSwissbib;996402;267288476
bestcase;155921;
leave;996403;
leave;996404;
HSB01duplicate;996405;204683
leave;996406;
leave;996407;
HSB01duplicate;996408;26656
HSB01duplicate;996409;332190
HSB01duplicate;996410;55585
HSB01duplicate;996411;254864
replacefromSwissbib;996412;211850586
leave;996413;
HSB01duplicate;996414;358365
leave;996415;
replacefromSwissbib;996416;272932051
leave;996417;
leave;996418;
bestcase;43697;
reimportFromSwissbib;996420;273510096
leave;996421;
HSB01duplicate;996422;352594
journal;;
leave;996423;
bestcase;224295;
HSB01duplicate;996424;200974
leave;996425;
replacefromSwissbib;996426;85356395
replacefromSwissbib;996427;53717929
HSB01duplicate;996428;107365
reimportFromSwissbib;996429;515927023
bestcase;286417;
reimportFromSwissbib;996430;278915132
bestcase;9951;
HSB01duplicate;996431;200020
leave;996432;
HSB01duplicate;996433;347871
bestcase;360749;
HSB01duplicate;996434;197499
leave;996435;
bestcase;233322;
journal;;
HSB01duplicate;996436;315175
HSB01duplicate;996437;35970
leave;996438;
unsure;;
notfound;;
bestcase;294062;
HSB01duplicate;996440;86849
leave;996441;
journal;;
notfound;;
journal;;
bestcase;40662;
HSB01duplicate;996443;204780
bestcase;505846;
bestcase;170684;
HSB01duplicate;996445;341537
reimportFromSwissbib;996446;339169826
notfound;;
leave;996448;
reimportFromSwissbib;996449;514780193
HSB01duplicate;996450;200301
leave;996451;
HSB01duplicate;996452;777170
journal;;
leave;996453;
HSB01duplicate;996454;126116
replacefromSwissbib;996455;297729217
leave;996456;
bestcase;996457;
HSB01duplicate;996458;362539
leave;996459;
leave;996460;
HSB01duplicate;996461;125490
reimportFromSwissbib;996462;515930318
bestcase;347829;
HSB01duplicate;996463;362607
HSB01duplicate;996464;3981
reimportFromSwissbib;996465;296824313
reimportFromSwissbib;996466;515929395
HSB01duplicate;996467;324655
bestcase;348275;
leave;996468;
replacefromSwissbib;996469;262266407
leave;996470;
bestcase;348212;
leave;996471;
leave;996472;
iff_doc_missing;CSV line 103;102799504
replacefromSwissbib;996473;74813935
replacefromSwissbib;996474;146611748
iff_doc_missing;CSV line 106;80859275
HSB01duplicate;996476;337210
replacefromSwissbib;996477;300583680
HSB01duplicate;996478;467762
bestcase;290147;
reimportFromSwissbib;996479;276275861
replacefromSwissbib;996480;274157314
iff_doc_missing;CSV line 113;36694533
reimportFromSwissbib;996481;298262320
iff_doc_missing;CSV line 115;274172356
bestcase;167348;
HSB01duplicate;996482;245232
leave;996483;
leave;996484;
leave;996485;
replacefromSwissbib;996486;71940219
replacefromSwissbib;996487;208840303
replacefromSwissbib;996488;15276710X
HSB01duplicate;996489;129707
replacefromSwissbib;996490;187009562
leave;996491;
bestcase;43425;
leave;996150;
bestcase;147970;
HSB01duplicate;996492;362501
leave;996493;
bestcase;291798;
leave;996494;
HSB01duplicate;996230;996495
leave;996496;
journal;;
leave;996497;
leave;996498;
bestcase;241789;
bestcase;126828;
replacefromSwissbib;996499;27490750X
replacefromSwissbib;996500;27436235X
HSB01duplicate;999494;440307
bestcase;200651;
HSB01duplicate;996502;363459
HSB01duplicate;996503;71063
bestcase;443990;
bestcase;42986;
replacefromSwissbib;996505;276249526
bestcase;348105;
leave;996506;
journal;;
HSB01duplicate;996507;201772
leave;996508;
notfound;;
leave;996510;
leave;996511;
HSB01duplicate;996512;354197
journal;;
leave;996514;
HSB01duplicate;996515;363458
HSB01duplicate;996516;35086
HSB01duplicate;996517;49790
notfound;;
HSB01duplicate;996519;21002
HSB01duplicate;996520;361739
leave;996521;
bestcase;363556;
notfound;;
replacefromSwissbib;996523;78323835
HSB01duplicate;996524;460
bestcase;365138;
replacefromSwissbib;996525;271899883
replacefromSwissbib;996526;208840273
HSB01duplicate;996527;201774
bestcase;231750;
HSB01duplicate;996528;8273
HSB01duplicate;996529;33156
HSB01duplicate;996530;204325
notfound;;
HSB01duplicate;996532;197260
replacefromSwissbib;996533;272955469
replacefromSwissbib;996534;289002052
HSB01duplicate;996535;358952
leave;996536;
bestcase;166034;
bestcase;204717;
leave;996537;
HSB01duplicate;996538;346843
reimportFromSwissbib;996539;273589121
leave;996540;
journal;;
HSB01duplicate;996541;360757
reimportFromSwissbib;996542;297744356
HSB01duplicate;996543;365130
HSB01duplicate;996544;204629
leave;996545;
HSB01duplicate;996546;360525
replacefromSwissbib;996547;270315713
leave;996548;
HSB01duplicate;996549;37144
