"Recktenwald Horst Claus";"Die Nutzen-Kosten-Analyse";3.16.331991.2;56;Druckerzeugnis;05.12.2003;;Haupt-Bibliothek;"BG 114";Tübingen;"J.C.B. Mohr (Paul Siebeck)";1971;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";export;0991089;265746647
OECD;"Checklist on Law Drafting and Regulatory Management in Central and Eastern Europe";-;29;Druckerzeugnis;"05.12.2003 08:19";"Sigma Papers No. 15";Haupt-Bibliothek;"EA 294";Paris;SIGMA-OECD;1997;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;reimport;0991098;515931314
"Mästle Andreas";"Die Steuerunion - Probleme der Harmonisierung spezifischer Gütersteuern";"3 8204 0152 0";195;Druckerzeugnis;05.12.2003;;Haupt-Bibliothek;"KA 328";"Frankfurt/Bern/New York";"Peter Lang";1987;;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";;export;0991099;537114009
"Dunn David/Pellechio Anthony";"Analyzing Taxes on Business Income with the Marginal Effective Tax Rate Model";;115;Druckerzeugnis;"02.02.2004 16:21";;Haupt-Bibliothek;"PL 127";Washington;"World Bank";1990;;PL;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Gewinnsteuer der Kapitalgesellschaften";;reimport;0991102;515924490
"Letsch Hans";"Die Ausgabenflut im Staatshaushalt als volkswirtschaftliches und staatspolitisches Problem";;40;Druckerzeugnis;20.04.2004;;Separata;"BF Sep. 02";Aarau;"Aargauische Handelskammer";1967;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";reimport;0991103;26820814X
"Glastetter Werner";"Das Integrationsproblem in den ökonomischen Grundwissenschaften";;244;Druckerzeugnis;"05.12.2003 08:19";"Im Auftrag des Senats herausgegeben von Professor Dr. H. G. Schachtschabel- Band 16";Haupt-Bibliothek;"AC 122";Stuttgart;W.Kohlhammer;1966;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;export;0991113;291813852;;"Im Auftrag des Senats herausgegeben von Professor Dr. H. G. Schachtschabel- Band 16"
"Dworak Robert J.";"Taxpayers-Taxes-and Government Spending - Perspectives on the Taxpayer Revolt";;256;Druckerzeugnis;"03.02.2004 15:36";;Haupt-Bibliothek;"KC 123";"New York";Praeger;1980;;KC;;;"Ausländisches Steuerrecht";USA;;export;0991114;296998400
"Stanford Research Institute/u.a.";"Costs of urban infrastructure for industry as related to city size in developing countries";;435;Druckerzeugnis;"05.12.2003 08:19";"India Case Study";Haupt-Bibliothek;"AJ 169";;;1968;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;reimport;0991117;515921467
"Müller Stefan";"Die Struktur des öffentlichen Personals in der Schweiz";"3 7253 0192 1";98;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"EA 196";Diessenhofen;Rüegger;1983;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;export;0991120;280414536
"Fischer Robert";"Buchführung-Rechnungsablage und Finanzprobleme der zürcherischen Gemeinden";-;116;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"VF 103";Wädenswil;"A. Stutz & Co.";1964;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";export;0991122;150203446
"Schenk Günter";"Auswirkungen der Einkommensteuerreform 1974 auf die Steuerbelastung von Arbeitnehmern";-;286;Druckerzeugnis;"02.02.2004 16:38";"Dissertation der Uni Berlin";Haupt-Bibliothek;"KB 311";Berlin;Reprotechnik;1977;;KB;;;"Ausländisches Steuerrecht";Deutschland;;export;0991124;181372819
"Nieswandt Norbert";"Der Beitrag der Ökonomischen Theorie der Politik zur Begründung der These von der 'Öffentlichen Armut'";3.921543.54.1;235;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AC 187";Bochum;"Studienverlag N. Brockmeyer";1976;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;export;0991126;274151812
"Planta Louis";"Die Aufgaben des Vororts im Spannungsfeld zwischen Staat und Wirtschaft";;5;Druckerzeugnis;22.04.2004;"Sonderdruck aus Ordo et Libertas (Festschrift für Gerhard Winterberger)";Separata;"WD Sep. 17";Bern;"Stämpfli & Cie AG";1982;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;reimport;0991127;267011946
