"Winzeler K. R.";"Versuch eines interkommunalen Vergleichs von Gemeindeausgaben im Kanton Aargau";;"125 ff";Druckerzeugnis;"05.12.2003 08:38";;Separata;"AJ Sep. 03";Solothurn;"Vogt-Schild AG";1968;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";
"Schweiz. Wissenschaftsrat";Wissenschafts-Politik;;107;Druckerzeugnis;"05.12.2003 08:38";"Mitteilungsblatt des Schweizerischen Wissenschaftsrates, Nr. 2 / 1970";Haupt-Bibliothek;"WD 102 1";Bern;"Sekr. des Schweiz. Wissenschaftsrates";1970;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
