bestcase;646815;
replacefromSwissbib;991054;45860890
replacefromSwissbib;991055;228062756
bestcase;359889;
leave;991056;
leave;991057;
bestcase;94269;
bestcase;201810;
iff_doc_missing;CSV line 9;155189379
HSB01duplicate;991059;303555
replacefromSwissbib;991060;271097167
reimportFromSwissbib;991061;264946782
leave;991062;
bestcase;518265;
HSB01duplicate;991063;52388
replacefromSwissbib;991064;275140946
HSB01duplicate;991065;361501
reimportFromSwissbib;991066;515929271
bestcase;139085;
bestcase;8278;
HSB01duplicate;991067;201585
leave;991068;
bestcase;361360;
HSB01duplicate;991069;1479
leave;991070;
bestcase;514785;
journal;;
replacefromSwissbib;991072;136317596
replacefromSwissbib;991073;83239693
HSB01duplicate;991074;127933
bestcase;235282;
journal;;
reimportFromSwissbib;991075;292492677
HSB01duplicate;991076;320780
replacefromSwissbib;991077;215558359
leave;991078;
leave;991079;
bestcase;127504;
replacefromSwissbib;991080;45860793
HSB01duplicate;991081;126483
bestcase;83236;
bestcase;95733;
notfound;;
leave;991083;
leave;991084;
HSB01duplicate;991085;117448
bestcase;12784;
journal;;
bestcase;170622;
reimportFromSwissbib;991087;501208747
HSB01duplicate;991088;362844
replacefromSwissbib;991089;265746647
leave;991090;
HSB01duplicate;991091;364730
notfound;;
leave;991093;
leave;991094;
bestcase;201508;
journal;;
leave;991095;
leave;991096;
bestcase;201701;
HSB01duplicate;991097;360539
bestcase;105836;
reimportFromSwissbib;991098;515931314
bestcase;235046;
bestcase;443985;
replacefromSwissbib;991099;537114009
HSB01duplicate;991100;77996
notfound;;
reimportFromSwissbib;991102;515924490
reimportFromSwissbib;991103;26820814X
bestcase;364735;
leave;991104;
leave;991105;
notfound;;
leave;991107;
HSB01duplicate;991108;44127
HSB01duplicate;991109;437431
HSB01duplicate;991110;296181
leave;991111;
leave;991112;
replacefromSwissbib;991113;291813852
journal;;
replacefromSwissbib;991114;296998400
journal;;
notfound;;
HSB01duplicate;991116;199676
reimportFromSwissbib;991117;515921467
leave;991118;
HSB01duplicate;991119;126627
replacefromSwissbib;991120;280414536
bestcase;155871;
HSB01duplicate;991121;200505
replacefromSwissbib;991122;150203446
leave;991123;
iff_doc_missing;CSV line 97;11751537X
replacefromSwissbib;991124;181372819
leave;991125;
bestcase;199277;
replacefromSwissbib;991126;274151812
reimportFromSwissbib;991127;267011946
bestcase;138493;
leave;991128;
leave;991129;
leave;991130;
leave;991131;
bestcase;34754;
leave;991132;
iff_doc_missing;CSV line 110;271320982
HSB01duplicate;991134;288776
bestcase;348724;
HSB01duplicate;991135;98827
leave;991136;
leave;991137;
bestcase;118565;
bestcase;209319;
bestcase;361356;
replacefromSwissbib;991138;289071720
bestcase;356785;
HSB01duplicate;991140;204701
leave;991141;
bestcase;201500;
bestcase;136580;
replacefromSwissbib;991142;281413452
bestcase;522424;
bestcase;361295;
bestcase;293040;
leave;991143;
leave;991144;
bestcase;217282;
bestcase;203062;
journal;;
HSB01duplicate;991145;291293
bestcase;40968;
leave;991146;
replacefromSwissbib;991147;368195929
HSB01duplicate;991148;354728
bestcase;149878;
leave;991149;
bestcase;10527;
bestcase;343456;
leave;991150;
HSB01duplicate;991151;140559
notfound;;
reimportFromSwissbib;991153;29436689X
bestcase;294532;
leave;991154;
HSB01duplicate;991155;184257
HSB01duplicate;991156;293726
leave;991157;
iff_doc_missing;CSV line 152;300252609
reimportFromSwissbib;991158;515924903
bestcase;136143;
replacefromSwissbib;991159;480870233
replacefromSwissbib;991160;262267942
bestcase;22870;
leave;991161;
journal;;
bestcase;101118;
bestcase;98522;
bestcase;14313;
leave;991162;
bestcase;438854;
HSB01duplicate;991163;337388
HSB01duplicate;991164;179274
journal;;
HSB01duplicate;126478;117738
HSB01duplicate;991165;324695
bestcase;204598;
replacefromSwissbib;991166;299368033
replacefromSwissbib;991167;285159607
replacefromSwissbib;991168;281874190
bestcase;121136;
replacefromSwissbib;991169;279337175
HSB01duplicate;991170;254319
HSB01duplicate;991171;345611
leave;991172;
HSB01duplicate;991173;292663
leave;991174;
leave;991175;
leave;991176;
leave;991177;
replacefromSwissbib;991178;29612608X
bestcase;308160;
leave;991179;
HSB01duplicate;991180;199013
bestcase;214867;
HSB01duplicate;991181;345359
journal;;
leave;991183;
leave;991184;
replacefromSwissbib;991185;403750482
replacefromSwissbib;991186;350276234
leave;991187;
leave;991188;
bestcase;69258;
bestcase;22871;
HSB01duplicate;991189;139255
replacefromSwissbib;991190;92714285
leave;991191;
bestcase;229812;
HSB01duplicate;991192;349969
bestcase;125483;
replacefromSwissbib;991193;270159258
notfound;;
replacefromSwissbib;991195;28329518X
HSB01duplicate;991196;347952
bestcase;16875;
replacefromSwissbib;991197;278348998
replacefromSwissbib;991198;292244126
HSB01duplicate;991199;344932
replacefromSwissbib;991200;78686415
HSB01duplicate;991201;342229
replacefromSwissbib;991202;83222596
leave;991203;
bestcase;6509;
notfound;;
replacefromSwissbib;991205;292450508
replacefromSwissbib;991206;176092137
leave;991207;
replacefromSwissbib;991208;172946158
leave;991209;
HSB01duplicate;991210;8248
bestcase;99879;
notfound;;
bestcase;17569;
journal;;
leave;991212;
leave;991213;
journal;;
HSB01duplicate;991214;348072
notfound;;
leave;991216;
bestcase;181437;
bestcase;179256;
notfound;;
replacefromSwissbib;991218;294400974
reimportFromSwissbib;991219;32419238X
unsure;;
HSB01duplicate;991220;364942
leave;991221;
replacefromSwissbib;991222;350401985
bestcase;359635;
leave;991223;
HSB01duplicate;991224;201079
notfound;;
leave;991225;
bestcase;64198;
journal;;
leave;991226;
leave;991227;
bestcase;99313;
leave;991228;
leave;991229;
journal;;
bestcase;162520;
bestcase;204040;
unsure;;
leave;991231;
journal;;
journal;;
HSB01duplicate;991234;342526
notfound;;
leave;991236;
replacefromSwissbib;991237;479882142
leave;991238;
bestcase;293983;
bestcase;132526;
HSB01duplicate;991239;652703
bestcase;52397;
leave;991241;
replacefromSwissbib;991242;422928429
bestcase;350240;
leave;991243;
replacefromSwissbib;991244;418152942
HSB01duplicate;991245;108076
bestcase;215386;
journal;;
leave;991246;
HSB01duplicate;991247;63067
notfound;;
bestcase;242689;
HSB01duplicate;991248;329677
HSB01duplicate;991249;347457
replacefromSwissbib;991250;268691738
reimportFromSwissbib;991251;51593139X
leave;991252;
bestcase;204661;
HSB01duplicate;991253;48660
bestcase;526267;
leave;991254;
